budget,popularity,runtime,revenue,has_collection,has_homepage,is_en,num_of_companies,usa_produced,is_released,release_year,release_month,num_of_spoken_languages,action,adventure,animation,comedy,crime,documentary,drama,family,fantasy,foreign,history,horror,music,mystery,romance,science fiction,thriller,tv movie,war,western
12000000,11.160699,115.0,17654912,0,0,1,2,1,1,2013,9,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000,8.822276,92.0,11806119,1,0,1,1,1,1,1988,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12000000,5.145185,108.0,204940,0,0,1,2,1,1,2010,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6.303552,133.0,154120,0,0,0,3,0,1,2013,10,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2000000,14.284787,129.0,13129846,0,0,1,1,1,1,1962,12,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
85000000,2.238808,104.0,158468292,1,1,1,1,1,1,2006,6,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
29000000,12.092096,103.0,21126225,0,0,1,7,1,1,2005,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
0,7.667491,126.0,16756372,0,1,0,8,1,1,2004,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11000000,8.290384,85.0,8266343,0,0,1,2,1,1,1990,4,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0.919556,90.0,17393,0,1,0,0,0,1,2004,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445000,2.482536,84.0,2300000,0,0,1,1,1,1,1976,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17000000,9.665251,106.0,24922237,1,1,1,1,1,1,2011,8,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
500000,0.660663,157.0,500000,0,0,0,0,0,1,2000,5,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
6000000,10.451986,98.0,39846344,1,0,1,2,1,1,1980,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.633399,122.0,35610100,0,0,1,2,1,1,1981,12,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1500000,6.636625,102.0,779820,0,1,1,5,1,1,2016,9,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
15000000,4.98408,118.0,9237470,0,0,1,6,1,1,2002,12,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
10284523,4.349046,104.0,11588205,0,0,1,4,1,1,2005,10,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
43000000,10.947957,104.0,91974818,0,0,1,6,1,1,2005,7,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
28000000,7.482865,116.0,40400657,1,0,1,1,1,1,1984,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2000000,10.239941,85.0,13101672,0,0,1,2,1,1,2011,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
50000000,7.260574,109.0,152022101,0,0,1,2,1,1,1995,6,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
8000000,9.741644,105.0,106260000,0,0,1,1,1,1,1979,12,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7500000,12.314278,91.0,32392047,0,0,0,2,0,1,1995,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20000000,13.655178,126.0,13162475,0,1,1,3,1,1,2017,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,4.359884,109.0,140081992,0,0,1,3,1,1,1993,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
30000000,25.261865,111.0,180949000,1,1,1,3,1,1,2003,10,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3.83196,106.0,215339,0,0,0,2,0,1,2001,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35000000,1.690768,135.0,15000000,0,0,1,3,0,1,1995,9,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
0,14.322814,96.0,2724474,0,0,1,1,0,1,2008,5,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
15000000,18.184056,147.0,20117339,0,0,1,5,1,1,2001,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
0,0.181963,72.0,14353,0,0,0,1,0,1,2012,12,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2500000,2.942355,98.0,3358,0,0,0,6,0,1,2011,11,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,1.042112,158.0,73000,0,0,0,1,0,1,2011,6,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
10500000,11.003515,90.0,23000000,0,0,0,1,0,1,2012,8,2,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6000000,5.529808,120.0,46616067,0,0,1,1,1,1,1988,4,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7000000,7.958502,91.0,9229401,0,0,1,4,1,1,1990,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
60000000,11.93646,135.0,313542341,0,1,1,3,1,1,2001,12,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1.066558,102.0,14961069,0,0,0,3,0,1,2007,8,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,2.401289,121.0,5310554,0,0,1,3,1,1,2012,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.590383,117.0,149521495,1,0,0,4,0,1,2014,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10900000,13.454169,105.0,16505460,0,0,1,5,0,1,2013,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31000000,6.523155,105.0,15134293,0,1,1,2,1,1,2010,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72000000,20.755149,177.0,210000000,0,0,1,3,1,1,1995,5,4,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
14000000,3.873796,97.0,18535191,0,0,1,2,1,1,1999,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
15000000,3.210693,189.0,34562222,0,0,1,1,1,1,1966,10,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
75000000,13.136791,123.0,67631903,0,0,1,7,1,1,2001,10,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35000000,5.093704,111.0,22034832,0,0,1,2,1,1,2004,8,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
100000000,11.696923,122.0,93820758,0,1,1,8,1,1,2015,11,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
20000000,4.619593,106.0,51684798,0,0,1,2,1,1,1988,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
93000000,32.070725,178.0,871368364,1,1,1,3,1,1,2001,12,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25000000,5.00725,86.0,41604473,0,0,1,1,1,1,2002,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11.356011,100.0,253625427,0,1,1,2,1,1,2007,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4.304224,107.0,1796389,0,0,1,1,1,1,1993,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
12716953,6.183021,113.0,18814720,0,0,0,1,0,1,1997,1,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000000,8.345985,90.0,347325802,1,0,1,1,1,1,2001,8,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
150000000,12.453452,88.0,448000000,1,1,1,1,1,1,1999,6,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1500000,1.961208,94.0,5585154,0,0,1,1,1,1,1990,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
25000000,8.369176,115.0,91036760,0,0,1,2,1,1,2000,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7500000,16.376657,95.0,60722734,0,1,1,3,1,1,2009,7,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40000000,14.622493,125.0,7400000,0,1,0,5,0,1,2008,7,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,5.695908,105.0,15500000,0,0,1,1,1,1,1978,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000000,7.886926,111.0,12008642,0,0,1,2,1,1,2000,12,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
18000000,9.929809,100.0,46201432,0,1,1,2,0,1,2005,10,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2400000,5.230661,120.0,5731103,0,0,1,2,1,1,1996,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4000000,10.130541,90.0,9800000,0,1,1,5,0,1,2013,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6000000,8.278079,93.0,5206,0,0,1,0,1,1,2011,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1.079975,97.0,2452566,0,0,1,1,1,1,2000,9,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
65000000,11.73956,95.0,211780824,0,1,1,3,1,1,2010,11,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10000000,11.840495,100.0,33000000,0,1,1,3,0,1,2007,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2000000,1.372493,90.0,300000,0,0,1,4,0,1,2006,6,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.490032,92.0,120680,1,1,1,0,1,1,2012,5,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
9000000,8.888278,79.0,4350774,0,0,1,1,1,1,1994,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.245682,93.0,3065860,0,1,1,2,1,1,2010,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
110000000,0.913096,133.0,407711549,1,0,1,6,1,1,2003,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
14320000,0.585397,176.0,14000000,0,0,1,2,1,1,1968,7,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
0,7.008512,101.0,31466789,0,0,1,3,0,1,2003,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3500000,5.353826,108.0,615816,0,1,1,1,1,1,2016,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18000000,6.675032,98.0,382174,0,1,1,1,1,1,2008,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4000000,6.216637,108.0,11000000,0,0,1,1,1,1,1967,10,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,3.805811,88.0,9188,0,1,1,3,1,1,2016,12,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
0,10.278957,90.0,19510371,1,0,1,1,1,1,1988,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39200000,14.131906,126.0,86758912,0,1,0,5,1,1,2013,8,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,9.322717,87.0,147214049,1,0,1,2,1,1,1992,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25000000,5.405958,113.0,432274,0,0,1,9,1,1,2012,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1.279443,100.0,16905,0,0,1,3,1,1,2016,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4000000,10.200398,91.0,52425855,0,1,1,4,1,1,2015,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,2.620456,90.0,5091888,0,0,1,1,1,1,1983,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20000000,8.759774,72.0,109862682,1,0,1,5,1,1,2002,2,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3500000,0.768181,126.0,8262833,1,0,0,0,0,1,2005,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.56257,94.0,447784,0,0,1,1,1,1,1994,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
63600000,6.047757,102.0,19412993,0,0,1,4,1,1,2000,10,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
32000000,7.54701,107.0,18552460,0,0,1,1,1,1,1995,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3500000,4.456904,98.0,113783,0,0,1,2,1,1,2006,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.319188,88.0,12277096,0,0,1,2,1,1,1988,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
125000,10.850569,90.0,3200000,0,1,1,1,1,1,2011,9,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9000000,5.997054,93.0,17096053,0,0,1,1,1,1,1998,9,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40000000,9.825841,99.0,62771059,0,1,1,5,1,1,2007,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0.836108,90.0,25000,0,0,1,0,1,1,1989,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
0,8.802715,87.0,1723872,1,0,1,2,1,1,1982,6,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19000000,10.966015,122.0,144216468,0,0,1,3,1,1,2005,9,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
5000000,6.501177,113.0,41833347,1,0,1,4,0,1,1975,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2000000,11.189831,95.0,24600832,1,0,1,1,0,1,1981,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,9.021668,87.0,55600000,1,0,1,2,1,1,1985,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5.524866,102.0,2585639,0,0,1,1,1,1,1987,10,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
3500000,8.55931,121.0,12000000,1,0,1,1,1,1,1966,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
11000000,8.929393,98.0,2807854,1,0,1,2,1,1,1991,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12468389,6.116093,97.0,29007412,1,0,1,9,0,1,2011,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38000000,1.406181,106.0,207283925,1,0,1,4,1,1,2001,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
90000000,5.496624,91.0,14828081,0,0,1,4,1,1,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
0,0.060645,74.0,532654,0,0,1,1,1,1,1997,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
15000000,14.778884,93.0,125212904,1,0,1,1,1,1,1982,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
32000000,11.137888,133.0,156167015,1,1,1,1,1,1,1989,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30000000,5.844016,130.0,31148328,0,1,1,5,1,1,2008,9,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,5.725912,119.0,20957001,0,0,1,3,0,1,2002,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.313689,104.0,21830957,0,0,1,2,1,1,1991,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6000000,9.534232,141.0,17555141,0,1,0,2,0,1,2010,9,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
82500000,9.796552,107.0,237681299,0,0,1,4,1,1,2006,6,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
14000000,1.36737,93.0,161001698,0,0,1,1,1,1,1997,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
